"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B3_01";"G";134;"^ 1";1;0,3;"euclidean";0,05;5;80;134;990
"B3_02";"G";169;"^ 1";1;0,3;"euclidean";0,05;5;80;169;1255
"B3_03";"G";123;"^ 1";1;0,3;"euclidean";0,05;5;80;123;655
"C3_01";"G";124;"^ 1";1;0,3;"euclidean";0,05;5;80;124;949
"C3_02";"G";124;"^ 1";1;0,3;"euclidean";0,05;5;80;124;914
"C3_03";"G";197;"^ 1";1;0,3;"euclidean";0,05;5;80;197;1204
"D3_01";"G";116;"^ 1";1;0,3;"euclidean";0,05;5;80;116;691
"D3_02";"G";113;"^ 1";1;0,3;"euclidean";0,05;5;80;113;818
"D3_03";"G";133;"^ 1";1;0,3;"euclidean";0,05;5;80;133;980
"E3_01";"G";119;"^ 1";1;0,3;"euclidean";0,05;5;80;119;847
"E3_02";"G";114;"^ 1";1;0,3;"euclidean";0,05;5;80;114;898
"E3_03";"G";133;"^ 1";1;0,3;"euclidean";0,05;5;80;133;1179
"F3_01";"G";156;"^ 1";1;0,3;"euclidean";0,05;5;80;156;1014
"F3_02";"G";143;"^ 1";1;0,3;"euclidean";0,05;5;80;143;1157
"F3_03";"G";154;"^ 1";1;0,3;"euclidean";0,05;5;80;154;1196
"G3_01";"G";93;"^ 1";1;0,3;"euclidean";0,05;5;80;93;567
"G3_02";"G";100;"^ 1";1;0,3;"euclidean";0,05;5;80;100;771
"G3_03";"G";154;"^ 1";1;0,3;"euclidean";0,05;5;80;154;1360
