"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01";"G";83;"^ 1";1;0,3;"euclidean";0,05;5;80;83;699
"B4_02";"G";102;"^ 1";1;0,3;"euclidean";0,05;5;80;102;763
"B4_03";"G";84;"^ 1";1;0,3;"euclidean";0,05;5;80;84;455
"C4_01";"G";114;"^ 1";1;0,3;"euclidean";0,05;5;80;114;793
"C4_02";"G";108;"^ 1";1;0,3;"euclidean";0,05;5;80;108;818
"C4_03";"G";103;"^ 1";1;0,3;"euclidean";0,05;5;80;103;745
"D4_01";"G";87;"^ 1";1;0,3;"euclidean";0,05;5;80;87;711
"D4_02";"G";107;"^ 1";1;0,3;"euclidean";0,05;5;80;107;855
"D4_03";"G";109;"^ 1";1;0,3;"euclidean";0,05;5;80;109;697
"E4_01";"G";106;"^ 1";1;0,3;"euclidean";0,05;5;80;106;871
"E4_02";"G";120;"^ 1";1;0,3;"euclidean";0,05;5;80;120;822
"E4_03";"G";123;"^ 1";1;0,3;"euclidean";0,05;5;80;123;878
"F4_01";"G";93;"^ 1";1;0,3;"euclidean";0,05;5;80;93;679
"F4_02";"G";118;"^ 1";1;0,3;"euclidean";0,05;5;80;118;675
"F4_03";"G";123;"^ 1";1;0,3;"euclidean";0,05;5;80;123;1019
"G4_01";"G";76;"^ 1";1;0,3;"euclidean";0,05;5;80;76;695
"G4_02";"G";95;"^ 1";1;0,3;"euclidean";0,05;5;80;95;703
"G4_03";"G";74;"^ 1";1;0,3;"euclidean";0,05;5;80;74;585
