"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5-03";"G";129;"^ 1";1;0,3;"euclidean";0,05;5;80;129;633
"B5_01";"G";163;"^ 1";1;0,3;"euclidean";0,05;5;80;163;1186
"B5_02";"G";172;"^ 1";1;0,3;"euclidean";0,05;5;80;172;1024
"C5_01";"G";122;"^ 1";1;0,3;"euclidean";0,05;5;80;122;727
"C5_02";"G";135;"^ 1";1;0,3;"euclidean";0,05;5;80;135;924
"C5_03";"G";124;"^ 1";1;0,3;"euclidean";0,05;5;80;124;765
"D5_01";"G";140;"^ 1";1;0,3;"euclidean";0,05;5;80;140;975
"D5_02";"G";149;"^ 1";1;0,3;"euclidean";0,05;5;80;149;1062
"D5_03";"G";141;"^ 1";1;0,3;"euclidean";0,05;5;80;141;934
"E5_01";"G";116;"^ 1";1;0,3;"euclidean";0,05;5;80;116;917
"E5_02";"G";129;"^ 1";1;0,3;"euclidean";0,05;5;80;129;820
"E5_03";"G";111;"^ 1";1;0,3;"euclidean";0,05;5;80;111;891
"F5_01";"G";104;"^ 1";1;0,3;"euclidean";0,05;5;80;104;610
"F5_02";"G";147;"^ 1";1;0,3;"euclidean";0,05;5;80;147;948
"F5_03";"G";115;"^ 1";1;0,3;"euclidean";0,05;5;80;115;893
"G5_01";"G";66;"^ 1";1;0,3;"euclidean";0,05;5;80;66;598
"G5_02";"G";80;"^ 1";1;0,3;"euclidean";0,05;5;80;80;772
"G5_03";"G";151;"^ 1";1;0,3;"euclidean";0,05;5;80;151;1281
