"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B8_01";"G";92;"^ 1";1;0,3;"euclidean";0,05;5;80;92;643
"B8_02";"G";80;"^ 1";1;0,3;"euclidean";0,05;5;80;80;609
"B8_03";"G";78;"^ 1";1;0,3;"euclidean";0,05;5;80;78;486
"C8_01";"G";74;"^ 1";1;0,3;"euclidean";0,05;5;80;74;436
"C8_02";"G";86;"^ 1";1;0,3;"euclidean";0,05;5;80;86;696
"C8_03";"G";76;"^ 1";1;0,3;"euclidean";0,05;5;80;76;618
"D8_01";"G";68;"^ 1";1;0,3;"euclidean";0,05;5;80;68;559
"D8_02";"G";82;"^ 1";1;0,3;"euclidean";0,05;5;80;82;739
"D8_03";"G";66;"^ 1";1;0,3;"euclidean";0,05;5;80;66;522
"E8_01";"G";62;"^ 1";1;0,3;"euclidean";0,05;5;80;62;478
"E8_02";"G";67;"^ 1";1;0,3;"euclidean";0,05;5;80;67;654
"E8_03";"G";81;"^ 1";1;0,3;"euclidean";0,05;5;80;81;537
"F8_01";"G";55;"^ 1";1;0,3;"euclidean";0,05;5;80;55;306
"F8_02";"G";74;"^ 1";1;0,3;"euclidean";0,05;5;80;74;577
"F8_03";"G";63;"^ 1";1;0,3;"euclidean";0,05;5;80;63;442
"G8_01";"G";79;"^ 1";1;0,3;"euclidean";0,05;5;80;79;550
"G8_02";"G";58;"^ 1";1;0,3;"euclidean";0,05;5;80;58;440
"G8_03";"G";81;"^ 1";1;0,3;"euclidean";0,05;5;80;81;538
