"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B3_01";"G";681;"^ 0.5";1;0,3;"euclidean";0,05;5;20;681;80
"B3_02";"G";782;"^ 0.5";1;0,3;"euclidean";0,05;5;20;782;122
"B3_03";"G";587;"^ 0.5";1;0,3;"euclidean";0,05;5;20;587;66
"C3_01";"G";889;"^ 0.5";1;0,3;"euclidean";0,05;5;20;889;115
"C3_02";"G";1103;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1103;147
"C3_03";"G";881;"^ 0.5";1;0,3;"euclidean";0,05;5;20;881;89
"D3_01";"G";898;"^ 0.5";1;0,3;"euclidean";0,05;5;20;898;105
"D3_02";"G";1202;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1202;191
"D3_03";"G";1032;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1032;125
"E3_01";"G";748;"^ 0.5";1;0,3;"euclidean";0,05;5;20;748;103
"E3_02";"G";1163;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1163;203
"E3_03";"G";1051;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1051;149
"F3_01";"G";602;"^ 0.5";1;0,3;"euclidean";0,05;5;20;602;69
"F3_02";"G";952;"^ 0.5";1;0,3;"euclidean";0,05;5;20;952;136
"F3_03";"G";863;"^ 0.5";1;0,3;"euclidean";0,05;5;20;863;174
"G3_01";"G";585;"^ 0.5";1;0,3;"euclidean";0,05;5;20;585;67
"G3_02";"G";941;"^ 0.5";1;0,3;"euclidean";0,05;5;20;941;135
"G3_03";"G";630;"^ 0.5";1;0,3;"euclidean";0,05;5;20;630;84
