"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01";"G";671;"^ 0.5";1;0,3;"euclidean";0,05;5;20;671;96
"B4_02";"G";935;"^ 0.5";1;0,3;"euclidean";0,05;5;20;935;109
"B4_03";"G";607;"^ 0.5";1;0,3;"euclidean";0,05;5;20;607;42
"C4_01";"G";774;"^ 0.5";1;0,3;"euclidean";0,05;5;20;774;101
"C4_02";"G";1097;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1097;178
"C4_03";"G";760;"^ 0.5";1;0,3;"euclidean";0,05;5;20;760;91
"D4_01";"G";742;"^ 0.5";1;0,3;"euclidean";0,05;5;20;742;72
"D4_02";"G";1173;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1173;185
"D4_03";"G";750;"^ 0.5";1;0,3;"euclidean";0,05;5;20;750;55
"E4_01";"G";763;"^ 0.5";1;0,3;"euclidean";0,05;5;20;763;83
"E4_02";"G";1168;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1168;201
"E4_03";"G";749;"^ 0.5";1;0,3;"euclidean";0,05;5;20;749;85
"F4_01";"G";311;"^ 0.5";1;0,3;"euclidean";0,05;5;20;311;18
"F4_02";"G";445;"^ 0.5";1;0,3;"euclidean";0,05;5;20;445;29
"F4_03";"G";696;"^ 0.5";1;0,3;"euclidean";0,05;5;20;696;85
"G4_01";"G";552;"^ 0.5";1;0,3;"euclidean";0,05;5;20;552;41
"G4_02";"G";446;"^ 0.5";1;0,3;"euclidean";0,05;5;20;446;43
"G4_03";"G";595;"^ 0.5";1;0,3;"euclidean";0,05;5;20;595;76
