"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B8_01";"G";654;"^ 0.5";1;0,3;"euclidean";0,05;5;20;654;123
"B8_02";"G";459;"^ 0.5";1;0,3;"euclidean";0,05;5;20;459;47
"B8_03";"G";674;"^ 0.5";1;0,3;"euclidean";0,05;5;20;674;84
"C8_01";"G";473;"^ 0.5";1;0,3;"euclidean";0,05;5;20;473;62
"C8_02";"G";626;"^ 0.5";1;0,3;"euclidean";0,05;5;20;626;70
"C8_03";"G";506;"^ 0.5";1;0,3;"euclidean";0,05;5;20;506;72
"D8_01";"G";473;"^ 0.5";1;0,3;"euclidean";0,05;5;20;473;76
"D8_02";"G";614;"^ 0.5";1;0,3;"euclidean";0,05;5;20;614;78
"D8_03";"G";918;"^ 0.5";1;0,3;"euclidean";0,05;5;20;918;142
"E8_01";"G";442;"^ 0.5";1;0,3;"euclidean";0,05;5;20;442;50
"E8_02";"G";482;"^ 0.5";1;0,3;"euclidean";0,05;5;20;482;56
"E8_03";"G";1253;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1253;243
"F8_01";"G";359;"^ 0.5";1;0,3;"euclidean";0,05;5;20;359;49
"F8_02";"G";430;"^ 0.5";1;0,3;"euclidean";0,05;5;20;430;42
"F8_03";"G";273;"^ 0.5";1;0,3;"euclidean";0,05;5;20;273;34
"G8_01";"G";197;"^ 0.5";1;0,3;"euclidean";0,05;5;20;197;18
"G8_02";"G";597;"^ 0.5";1;0,3;"euclidean";0,05;5;20;597;64
"G8_03";"G";471;"^ 0.5";1;0,3;"euclidean";0,05;5;20;471;56
