"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B2_01";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;865
"B2_02";"G";72;"^ 1";1;0,3;"euclidean";0,05;5;80;72;1031
"B2_03";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;564
"C2_01";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;571
"C2_02";"G";105;"^ 1";1;0,3;"euclidean";0,05;5;80;105;913
"C2_03";"G";103;"^ 1";1;0,3;"euclidean";0,05;5;80;103;641
"D2_01";"G";51;"^ 1";1;0,3;"euclidean";0,05;5;80;51;683
"D2_02";"G";95;"^ 1";1;0,3;"euclidean";0,05;5;80;95;879
"D2_03";"G";79;"^ 1";1;0,3;"euclidean";0,05;5;80;79;673
"E2_01";"G";27;"^ 1";1;0,3;"euclidean";0,05;5;80;27;414
"E2_02";"G";26;"^ 1";1;0,3;"euclidean";0,05;5;80;26;326
"E2_03";"G";28;"^ 1";1;0,3;"euclidean";0,05;5;80;28;259
"F2_01";"G";13;"^ 1";1;0,3;"euclidean";0,05;5;80;13;203
"F2_02";"G";19;"^ 1";1;0,3;"euclidean";0,05;5;80;19;248
"F2_03";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;326
"G2_01";"G";40;"^ 1";1;0,3;"euclidean";0,05;5;80;40;417
"G2_02";"G";16;"^ 1";1;0,3;"euclidean";0,05;5;80;16;274
"G2_03";"G";14;"^ 1";1;0,3;"euclidean";0,05;5;80;14;236
