"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B6_01";"G";25;"^ 1";1;0,3;"euclidean";0,05;5;80;25;445
"B6_02";"G";53;"^ 1";1;0,3;"euclidean";0,05;5;80;53;561
"B6_03";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;389
"C6_01";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;219
"C6_02";"G";27;"^ 1";1;0,3;"euclidean";0,05;5;80;27;332
"C6_03";"G";29;"^ 1";1;0,3;"euclidean";0,05;5;80;29;398
"D6_01";"G";25;"^ 1";1;0,3;"euclidean";0,05;5;80;25;357
"D6_02";"G";29;"^ 1";1;0,3;"euclidean";0,05;5;80;29;248
"D6_03";"G";26;"^ 1";1;0,3;"euclidean";0,05;5;80;26;486
"E6_01";"G";26;"^ 1";1;0,3;"euclidean";0,05;5;80;26;218
"E6_02";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;355
"E6_03";"G";16;"^ 1";1;0,3;"euclidean";0,05;5;80;16;323
"F6_01";"G";23;"^ 1";1;0,3;"euclidean";0,05;5;80;23;207
"F6_02";"G";23;"^ 1";1;0,3;"euclidean";0,05;5;80;23;325
"F6_03";"G";26;"^ 1";1;0,3;"euclidean";0,05;5;80;26;402
"G6_01";"G";24;"^ 1";1;0,3;"euclidean";0,05;5;80;24;139
"G6_02";"G";29;"^ 1";1;0,3;"euclidean";0,05;5;80;29;197
"G6_03";"G";26;"^ 1";1;0,3;"euclidean";0,05;5;80;26;230
