"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B3_01";"G";45;"^ 1";1;0,3;"euclidean";0,05;5;80;45;519
"B3_02";"G";31;"^ 1";1;0,3;"euclidean";0,05;5;80;31;627
"B3_03";"G";26;"^ 1";1;0,3;"euclidean";0,05;5;80;26;491
"C3_01";"G";34;"^ 1";1;0,3;"euclidean";0,05;5;80;34;676
"C3_02";"G";27;"^ 1";1;0,3;"euclidean";0,05;5;80;27;884
"C3_03";"G";22;"^ 1";1;0,3;"euclidean";0,05;5;80;22;737
"D3_01";"G";37;"^ 1";1;0,3;"euclidean";0,05;5;80;37;708
"D3_02";"G";46;"^ 1";1;0,3;"euclidean";0,05;5;80;46;936
"D3_03";"G";50;"^ 1";1;0,3;"euclidean";0,05;5;80;50;817
"E3_01";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;600
"E3_02";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;929
"E3_03";"G";29;"^ 1";1;0,3;"euclidean";0,05;5;80;29;905
"F3_01";"G";25;"^ 1";1;0,3;"euclidean";0,05;5;80;25;491
"F3_02";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;762
"F3_03";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;709
"G3_01";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;455
"G3_02";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;733
"G3_03";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;520
