"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;507
"B4_02";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;726
"B4_03";"G";20;"^ 1";1;0,3;"euclidean";0,05;5;80;20;533
"C4_01";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;601
"C4_02";"G";36;"^ 1";1;0,3;"euclidean";0,05;5;80;36;896
"C4_03";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;629
"D4_01";"G";43;"^ 1";1;0,3;"euclidean";0,05;5;80;43;567
"D4_02";"G";58;"^ 1";1;0,3;"euclidean";0,05;5;80;58;946
"D4_03";"G";29;"^ 1";1;0,3;"euclidean";0,05;5;80;29;619
"E4_01";"G";47;"^ 1";1;0,3;"euclidean";0,05;5;80;47;576
"E4_02";"G";53;"^ 1";1;0,3;"euclidean";0,05;5;80;53;942
"E4_03";"G";24;"^ 1";1;0,3;"euclidean";0,05;5;80;24;645
"F4_01";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;250
"F4_02";"G";31;"^ 1";1;0,3;"euclidean";0,05;5;80;31;363
"F4_03";"G";31;"^ 1";1;0,3;"euclidean";0,05;5;80;31;571
"G4_01";"G";26;"^ 1";1;0,3;"euclidean";0,05;5;80;26;445
"G4_02";"G";27;"^ 1";1;0,3;"euclidean";0,05;5;80;27;367
"G4_03";"G";29;"^ 1";1;0,3;"euclidean";0,05;5;80;29;490
