"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5_01";"G";27;"^ 1";1;0,3;"euclidean";0,05;5;80;27;464
"B5_02";"G";28;"^ 1";1;0,3;"euclidean";0,05;5;80;28;630
"B5_03";"G";8;"^ 1";1;0,3;"euclidean";0,05;5;80;8;347
"C5_01";"G";28;"^ 1";1;0,3;"euclidean";0,05;5;80;28;642
"C5_02";"G";43;"^ 1";1;0,3;"euclidean";0,05;5;80;43;879
"C5_03";"G";15;"^ 1";1;0,3;"euclidean";0,05;5;80;15;624
"D5_01";"G";52;"^ 1";1;0,3;"euclidean";0,05;5;80;52;662
"D5_02";"G";52;"^ 1";1;0,3;"euclidean";0,05;5;80;52;979
"D5_03";"G";16;"^ 1";1;0,3;"euclidean";0,05;5;80;16;598
"E5_01";"G";40;"^ 1";1;0,3;"euclidean";0,05;5;80;40;616
"E5_02";"G";46;"^ 1";1;0,3;"euclidean";0,05;5;80;46;937
"E5_03";"G";14;"^ 1";1;0,3;"euclidean";0,05;5;80;14;431
"F5_01";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;565
"F5_02";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;1040
"F5_03";"G";16;"^ 1";1;0,3;"euclidean";0,05;5;80;16;548
"G5_01";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;577
"G5_02";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;825
"G5_03";"G";19;"^ 1";1;0,3;"euclidean";0,05;5;80;19;651
