"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B8_01";"G";46;"^ 1";1;0,3;"euclidean";0,05;5;80;46;570
"B8_02";"G";54;"^ 1";1;0,3;"euclidean";0,05;5;80;54;400
"B8_03";"G";36;"^ 1";1;0,3;"euclidean";0,05;5;80;36;621
"C8_01";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;419
"C8_02";"G";59;"^ 1";1;0,3;"euclidean";0,05;5;80;59;512
"C8_03";"G";34;"^ 1";1;0,3;"euclidean";0,05;5;80;34;455
"D8_01";"G";28;"^ 1";1;0,3;"euclidean";0,05;5;80;28;422
"D8_02";"G";34;"^ 1";1;0,3;"euclidean";0,05;5;80;34;545
"D8_03";"G";43;"^ 1";1;0,3;"euclidean";0,05;5;80;43;797
"E8_01";"G";23;"^ 1";1;0,3;"euclidean";0,05;5;80;23;391
"E8_02";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;409
"E8_03";"G";40;"^ 1";1;0,3;"euclidean";0,05;5;80;40;1134
"F8_01";"G";24;"^ 1";1;0,3;"euclidean";0,05;5;80;24;325
"F8_02";"G";22;"^ 1";1;0,3;"euclidean";0,05;5;80;22;381
"F8_03";"G";23;"^ 1";1;0,3;"euclidean";0,05;5;80;23;243
"G8_01";"G";23;"^ 1";1;0,3;"euclidean";0,05;5;80;23;176
"G8_02";"G";36;"^ 1";1;0,3;"euclidean";0,05;5;80;36;513
"G8_03";"G";27;"^ 1";1;0,3;"euclidean";0,05;5;80;27;415
