"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5_01";"G";1858;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1858;177
"B5_02";"G";2351;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2351;250
"B5_03";"G";1699;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1699;169
"C5_01";"G";1732;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1732;232
"C5_02";"G";2395;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2395;388
"C5_03";"G";2261;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2261;268
"D5_01";"G";1987;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1987;305
"D5_02";"G";2749;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2749;404
"D5_03";"G";1921;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1921;192
"E5_01";"G";2043;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2043;268
"E5_02";"G";2580;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2580;282
"E5_03";"G";2170;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2170;192
"F5_01";"G";1698;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1698;170
"F5_02";"G";2336;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2336;219
"F5_03";"G";2209;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2209;259
"G5_01";"G";1722;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1722;141
"G5_02";"G";2027;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2027;195
"G5_03";"G";1497;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1497;146
