"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B6_01";"G";909;"^ 0.5";1;0,3;"euclidean";0,05;5;20;909;287
"B6_02";"G";566;"^ 0.5";1;0,3;"euclidean";0,05;5;20;566;156
"B6_03";"G";882;"^ 0.5";1;0,3;"euclidean";0,05;5;20;882;232
"C6_01";"G";771;"^ 0.5";1;0,3;"euclidean";0,05;5;20;771;206
"C6_02";"G";749;"^ 0.5";1;0,3;"euclidean";0,05;5;20;749;193
"C6_03";"G";469;"^ 0.5";1;0,3;"euclidean";0,05;5;20;469;136
"D6_01";"G";478;"^ 0.5";1;0,3;"euclidean";0,05;5;20;478;94
"D6_02";"G";697;"^ 0.5";1;0,3;"euclidean";0,05;5;20;697;97
"D6_03";"G";988;"^ 0.5";1;0,3;"euclidean";0,05;5;20;988;238
"E6_01";"G";381;"^ 0.5";1;0,3;"euclidean";0,05;5;20;381;73
"E6_02";"G";511;"^ 0.5";1;0,3;"euclidean";0,05;5;20;511;93
"E6_03";"G";736;"^ 0.5";1;0,3;"euclidean";0,05;5;20;736;109
"F6_01";"G";669;"^ 0.5";1;0,3;"euclidean";0,05;5;20;669;215
"F6_02";"G";798;"^ 0.5";1;0,3;"euclidean";0,05;5;20;798;204
"F6_03";"G";593;"^ 0.5";1;0,3;"euclidean";0,05;5;20;593;159
"G6_01";"G";814;"^ 0.5";1;0,3;"euclidean";0,05;5;20;814;303
"G6_02";"G";910;"^ 0.5";1;0,3;"euclidean";0,05;5;20;910;304
"G6_03";"G";854;"^ 0.5";1;0,3;"euclidean";0,05;5;20;854;366
