"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5_01";"G";782;"^ 0.5";1;0,3;"euclidean";0,05;5;20;782;208
"B5_02";"G";683;"^ 0.5";1;0,3;"euclidean";0,05;5;20;683;273
"B5_03";"G";219;"^ 0.5";1;0,3;"euclidean";0,05;5;20;219;116
"C5_01";"G";852;"^ 0.5";1;0,3;"euclidean";0,05;5;20;852;288
"C5_02";"G";941;"^ 0.5";1;0,3;"euclidean";0,05;5;20;941;310
"C5_03";"G";934;"^ 0.5";1;0,3;"euclidean";0,05;5;20;934;346
"D5_01";"G";472;"^ 0.5";1;0,3;"euclidean";0,05;5;20;472;213
"D5_02";"G";773;"^ 0.5";1;0,3;"euclidean";0,05;5;20;773;293
"D5_03";"G";674;"^ 0.5";1;0,3;"euclidean";0,05;5;20;674;270
"E5_01";"G";425;"^ 0.5";1;0,3;"euclidean";0,05;5;20;425;147
"E5_02";"G";570;"^ 0.5";1;0,3;"euclidean";0,05;5;20;570;267
"E5_03";"G";999;"^ 0.5";1;0,3;"euclidean";0,05;5;20;999;394
"F5_01";"G";824;"^ 0.5";1;0,3;"euclidean";0,05;5;20;824;434
"F5_02";"G";825;"^ 0.5";1;0,3;"euclidean";0,05;5;20;825;391
"F5_03";"G";1152;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1152;534
"G5_01";"G";988;"^ 0.5";1;0,3;"euclidean";0,05;5;20;988;435
"G5_02";"G";1046;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1046;470
"G5_03";"G";1261;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1261;577
